Time [s],Channel 0,Channel 1,Channel 2
0.000000000,1,1,0
0.558929750,1,0,0
0.558931000,0,0,0
0.558932437,1,0,0
0.558933812,0,0,0
0.558934625,0,1,0
0.558935250,1,1,0
0.558936625,0,1,0
0.558938062,1,1,0
0.558939437,0,1,0
0.558940813,1,1,0
0.558942188,0,1,0
0.558943625,1,1,0
0.558945000,0,1,0
0.558945625,0,0,0
0.558946437,1,0,0
0.558947813,0,0,0
0.558949250,1,0,0
0.558950625,0,0,0
0.558952062,1,0,0
0.558953438,0,0,0
0.558954813,1,0,0
0.558956187,0,0,0
0.558956500,0,1,0
0.558956812,0,0,0
0.558957625,1,0,0
0.558959000,0,0,0
0.558960438,1,0,0
0.558961812,0,0,0
0.558963250,1,0,0
0.558964625,0,0,0
0.558966063,1,0,0
0.558967437,0,0,0
0.558968875,1,0,0
0.558970188,0,1,0
0.558970250,0,0,0
0.558971625,1,0,0
0.558973000,0,0,0
0.558974437,1,0,0
0.558975812,0,0,0
0.558977250,1,0,0
0.558978625,0,0,0
0.558980062,1,0,0
0.558981437,0,0,0
0.558981687,0,1,0
0.558982813,1,1,0
0.558984188,0,1,0
0.558984812,1,0,0
0.558984875,0,0,0
0.558985625,1,0,0
0.558987000,0,0,0
0.558987812,0,1,0
0.558988438,1,1,0
0.558989813,0,1,0
0.558990437,0,0,0
0.558991250,1,0,0
0.558992625,0,0,0
0.558993437,0,1,0
0.558994063,1,1,0
0.558995438,0,1,0
0.558996812,1,1,0
0.558998187,0,1,0
0.558999625,1,1,0
0.559001000,0,1,0
0.559001625,0,0,0
0.559002438,1,0,0
0.559003812,0,0,0
0.559026500,1,0,0
0.559027812,0,1,0
0.559027875,0,0,0
0.559028125,0,1,0
0.559028437,0,0,0
0.559029250,1,0,0
0.559031000,1,1,0
0.559126875,1,0,0
0.559128188,0,0,0
0.559129563,1,0,0
0.559130937,0,0,0
0.559131750,0,1,0
0.559132375,1,1,0
0.559133750,0,1,0
0.559135188,1,1,0
0.559136562,0,1,0
0.559138000,1,1,0
0.559139375,0,1,0
0.559140813,1,1,0
0.559142187,0,1,0
0.559142812,0,0,0
0.559143625,1,0,0
0.559145000,0,0,0
0.559146375,1,0,0
0.559147750,0,0,0
0.559149187,1,0,0
0.559150562,0,0,0
0.559152000,1,0,0
0.559153375,0,0,0
0.559153625,0,1,0
0.559154000,0,0,0
0.559154812,1,0,0
0.559156187,0,0,0
0.559157625,1,0,0
0.559159000,0,0,0
0.559160375,1,0,0
0.559161750,0,0,0
0.559163188,1,0,0
0.559164563,0,0,0
0.559166000,1,0,0
0.559167375,0,0,0
0.559168812,1,0,0
0.559170188,0,0,0
0.559171625,1,0,0
0.559173000,0,0,0
0.559174375,1,0,0
0.559175750,0,0,0
0.559177188,1,0,0
0.559178562,0,0,0
0.559178875,0,1,0
0.559179187,0,0,0
0.559180000,1,0,0
0.559181375,0,0,0
0.559182813,1,0,0
0.559184187,0,0,0
0.559185000,0,1,0
0.559185625,1,1,0
0.559187000,0,1,0
0.559187625,0,0,0
0.559188375,1,0,0
0.559189750,0,0,0
0.559191187,1,0,0
0.559192563,0,0,0
0.559194000,1,0,0
0.559195375,0,0,0
0.559196812,1,0,0
0.559198188,0,0,0
0.559199625,1,0,0
0.559201000,0,0,0
0.559202375,1,0,0
0.559203750,0,0,0
0.559204062,0,1,0
0.559204375,0,0,0
0.559205188,1,0,0
0.559206563,0,0,0
0.559208000,1,0,0
0.559209375,0,0,0
0.559210813,1,0,0
0.559212188,0,0,0
0.559213625,1,0,0
0.559215000,0,0,0
0.559216438,1,0,0
0.559217813,0,0,0
0.559219187,1,0,0
0.559220562,0,0,0
0.559222000,1,0,0
0.559223375,0,0,0
0.559224813,1,0,0
0.559226187,0,0,0
0.559248813,1,0,0
0.559250250,0,0,0
0.559250500,0,1,0
0.559250812,0,0,0
0.559251625,1,0,0
0.559253375,1,1,0
0.559313562,1,0,0
0.559314875,0,0,0
0.559316313,1,0,0
0.559317625,0,0,0
0.559318437,0,1,0
0.559319062,1,1,0
0.559320438,0,1,0
0.559321875,1,1,0
0.559323250,0,1,0
0.559324687,1,1,0
0.559326063,0,1,0
0.559327500,1,1,0
0.559328875,0,1,0
0.559329500,0,0,0
